depth_top	depth_bottom	density	Pbex	Pbex_er	Cs	Cs_er	Am	Am_er
0	5	0.47	642	11	772	3.0	1.0	0.51
5	14	0.31	504	14	535	4.3	1.3	0.9
14	21	0.38	371	7	540	2	1.3	0.4
21	27	0.66	217	6	446	2	1.6	0.4
27	34	0.72	232	12	790	5	1.9	0.9
34	40	0.48	305	11	1340	5	1.2	0.9
40	45	0.58	219	10	530	3	1.3	0.57
45	51	0.48	206	10	416	3.3	3.2	0.7
51	56	0.60	168	10	423	3.4	5.94	0.8
56	61	0.58	147	8	395	4	5.4	0.7
61	67	0.45	116	5	209	1.6	2.3	0.4
67	72	0.59	122	9	181	2.3	2.6	0.7
72	79	0.45	125	8	117.0	1.8	1.5	0.7
79	83	0.63	113	8	62.4	1.3	1.35	0.6
83	89	0.42	122	5	34.7	0.6	0.71	0.4
89	96	0.48	58.8	3	16.2	0.3		
96	102	0.57	48.4	2	4.5	0.1		
102	107	0.88	29.6	4	5.2	0.3		
107	113	0.62	26.8	3	6.1	0.2		
113	121	0.41	27.4	3	9.4	0.2		
121	127	0.49	29.0	4.1	11.3	0.5		
127	132	0.65	23.0	3.2	12.1	0.3		
132	149	0.62	15.4	3.0	7.7	0.3		
149	160	0.63	11.0	2.0	5.5	0.2		
