depth_top	depth_bottom		density	Pbex	Pbex_er	Cs	Cs_er	Am	Am_er
0	6	0.059	0.06	370	8	18.1	0.5	0.6	0.3
6	11	0.042	0.04	414	11	25.5	0.8	0.2	0.4
11	17	0.048	0.05	381	9	26.9	0.7	0.3	0.3
17	22.5	0.065	0.07	322	11	29.9	0.8	0.2	0.35
22.5	27.5	0.074	0.07	284	7	43.7	0.8	0.6	0.3
40.5	48	0.052	0.05	211	8	77.5	1	0	0
54	58.5	0.054	0.05	288	9	233	1.9	0.4	0.35
58.5	64.5	0.055	0.06	232	8	631	2.7	0.27	0.4
70.5	75	0.082	0.06	218	9	1305	5	3.307	0.7
75	83	0.055	0.08	166	6	67.1	1	0.1	0.3
88.5	95	0.065	0.08	120	6	38.4	0.6	0.7	0.25
101	111	0.048	0.05	158	7	26.7	0.6	0.26	0.26
119	130	0.050	0.05	154	6	47.9	0.8	1.2	0.3
130	139.5	0.072	0.07	129	6	155.6	1.5	3.79	0.4
139.5	150	0.087	0.09	88	5	96	0.9	1.09	0.29
150	159.5	0.101	0.1	96	6	61.6	1	1.1	0.4
159.5	164	0.107	0.11	82	6	19.1	0.4	0.55	0.28
164	173	0.097	0.1	63	6	7.7	0.3	0.14	0.3
179.5	187.5	0.117	0.12	48	5	2.4	0.2	0.3	0.3
199.5	209	0.106	0.11	46	3	0.7	0.1	0.2	0.16
234	244.5	0.108	0.11	34	5	0.5	0.1	0	0
254	264	0.105	0.1	34	5	0.23	0.14	0	0
283.5	295	0.110	0.11	28	3	0.7	0.1	0	0
305	317	0.109	0.11	18	4	0.19	0.13	0	0
