Age	Depth
2010	3
2009	5
2008	8
2007	11
2006	13.5
2005	15.5
2004	19.5
2003	22.5
2002	25
2001	28
2000	30.5
1999	33
1998	36.5
1997	39
1996	42
1995	44.5
1994	48.5
1993	50.5
1992	55.5
1991	58
1990	61
1989	64
1988	66.5
1987	68
1986	69.5
1985	72.5
1984	75
1983	77
1982	80
1981	82.5
1980	85.5
1979	88.5
1978	91.5
1977	93.5
1976	97.5
1975	100
1974	103.5
1973	108.5
1972	112
1971	114.5
1970	118
1969	121.5
1968	124
1967	127
1966	130.5
1965	133.5
1964	136
1963	139
1962	142.5
1961	146
