depth_top	depth_bottom	density	Pbex	Pbex_er	Cs	Cs_er	Am	Am_er
0	6.5	0.099694408	202	7	5.8	0.3		
6.5	10	0.099694408	212	12	6.1	0.6	0.68	0.64
10	14.5	0.104145051	196	8	14.8	0.6		
14.5	17	0.104145051	210	12	7.8	0.8		
17	25	0.101474665	180	10	8.33	0.63		
25	30	0.101474665	150	6	4.8	0.8		
30	35	0.106815437	148	9	6.7	0.38	0.35	0.32
35	40	0.106815437	141	10	9.5	0.7		
40	45	0.11126608	181	10	10.8	0.76		
45	51	0.11126608	137	10	15.6	1.8	1.14	0.4
51	55	0.16378367	96	8	24.8	0.8	0.27	0.49
55	60	0.16378367	81	7	26.8	1		0.49
60	64	0.112156209	99	9	27.9	1.3	0.13	0.57
64	68	0.112156209	65	5	70.6	1.2	0.36	0.46
68	75	0.113046337	125	7	89	7	0.15	0.48
75	83	0.113046337	108	4	218	1.3	0.23	0.25
83	91	0.118387109	107	5	42.8	0.9	0.24	0.33
91	102	0.128178524	90	6	20.7	0.8	0.19	0.45
102	110	0.160223155	78	4	20.2	0.4	0.58	0.23
110	120	0.128178524	80	6	22.2	0.77	0.2	0.4
120	129	0.137969939	60	5	23	0.8	0.81	0.41
129	136	0.146871226	57	4	27	0.7	1.26	0.3
136	149	0.12461801	54	5	34	1	0.41	0.43
149	160	0.13084891	52	5	59	1.2	1.05	0.43
160	172	0.151321869	57	4	151	1.5	2.61	0.4
172	180	0.148651483	55	4	165	1.6	6.54	0.49
180	190	0.154882383	47	4	84	0.9	1.98	0.3
190	200	0.140640325	37	4	36	0.7	1.48	0.29
220	230	0.169124442	30	2	4.6	0.1	0.38	0.12
230	240	0.170904699	36	2	2.49	0.13		
240	253	0.170904699	39	4	1.57	0.18		
253	262	0.185146757	39	4	1.12	0.16	0.77	0.25
262	275	0.1833665	28	2	0.49	0.07	0.2	0.14
275	285	0.220751903	30	2	0.19	0.06		
295	310	0.29463258	19	3	0.13	0.07		
310	317	0.296412837	18	4				
317	330	0.318666053	16	2				
340	350	0.338248883	16	2				
