Age	Depth
2004	0
2003	5
2002	10
2001	15
2000	20
1999	26
1998	30
1997	35
1996	40
1995	46
1994	51
1993	57
1992	60
1991	65
1990	71
1989	74
1988	78
1987	83
1986	87
1985	92
1984	96
1983	101
1982	105
1981	110
1980	115
1979	119
1978	124
1977	129
1976	134
1975	137
1974	141
1973	145
1972	149
1971	154
1970	157
1969	161
1968	164
1967	167
1966	172
1965	175
1964	178
1963	181
1962	184
1961	188
1960	191
1959	196
1958	210
1956	215
1955	220
1954	226
1953	229
1952	232
1951	237
1950	242
1949	246
1948	250
1947	255
1946	257
1945	261
1944	264
