Depth	thickness	density	Pbex	Pbex_er	Cs	Cs_er
5	10	 0.073   	517	38	36.2	3.9
15	10	 0.075   	517	32	44.1	3.1
25	10	 0.075   	472	30	39.1	2.4
35	10	 0.071   	342	26	37.9	3.2
45	10	 0.071   	375	30	54.6	3.8
55	10	 0.068   	297	26	33.7	3.2
65	10	 0.071   	259	33	53.9	5.7
75	10	 0.068   	261	23	53.0	2.7
85	10	 0.076				
95	10	 0.068   	252	20	44.3	2.6
105	10	 0.079   	266	23	57.0	2.8
115	10	 0.086   	258	19	108.1	2.2
125	10	 0.080   	222	25	42.9	3.8
135	10	 0.079   	182	28	57.8	5.8
145	10	 0.091   	228	29	49.5	5.1
155	10	 0.083   	188	21	48.6	6.3
165	10	 0.091   	181	15	67.3	2.3
175	10	 0.088   	141	24	51.4	4.8
185	10	 0.088   	151	24	52.7	4.8
195	10	 0.091   	160	15	57.3	2.2
205	10	 0.088				
215	10	 0.093   	116	18	52.5	3.9
225	10	 0.095				
235	10	 0.096   	122	18	49.3	4.2
245	10	 0.098				
255	10	 0.094   	96	11	52.5	2.6
265	10	 0.099				
275	10	 0.104   	91	17	49.7	4.1
285	10	 0.102   	91	9	52	1.5
295	10	 0.099   	91	18	38.3	2.7
305	10	 0.108   	71	13	22.7	2.2
315	10	 0.113   	78	15	7.6	2.5
325	10	 0.116   	66	7	10.6	0.9
335	10	 0.129   	72	9	9.9	1.1
345	10	 0.125   	58	16	9.9	1.6
355	10	 0.125				
365	10	 0.124				
375	10	 0.110   	40	8	8.2	0.9
385	10	 0.102				
395	10	 0.104				
405	10	 0.110   	48	8	4.0	0.7
415	10	 0.122				
425	10	 0.130   	35	8	4.1	0.7
435	10	 0.127				
445	10	 0.128   	21	5	4.4	0.5
455	10	 0.143				
465	10	 0.133   	22	7	2.1	0.5
