depth_top	depth_bottom	density	Pbex	Pbex_er	Cs	Cs_er	Am	Am_er
0	10	0.40	94.4	2.5	18.9	0.5		
10	20	0.28	83.0	3.0	20.1	0.7		
20	30	0.12	81.5	2.2	17.5	0.4		
30	40	0.23	85.7	2.6	20.6	0.6		
40	50	0.28	80.1	2.7	25.4	0.6		
50	60	0.20	77.7	2.5	27.4	0.7		
60	70	0.21	75.2	2.2	26.6	0.7		
70	80	0.24	65.4	2.1	29.5	0.7		
80	90	0.23	58.1	1.9	37.8	0.9		
90	100	0.29	54.5	2.0	42.7	1.0		
100	110	0.25	49.9	2.0	45.6	1.1		
110	120	0.27	48.1	1.9	44.9	1.1		
120	130	0.31	49.2	2.0	37.9	0.9		
130	140	0.42	35.5	2.1	29.7	0.8		
140	150	0.22	33.2	1.6	17.7	0.5		
150	160	0.32	29.3	1.7	12.7	0.4		
160	170	0.38	22.6	1.1	10.1	0.3		
170	180	0.32	19.5	1.4	8.9	0.3		
180	190	0.31	22.1	1.7	6.6	0.2		
190	200	0.38	18.2	1.6	6.0	0.3		
200	210	0.31	16.5	1.6	6.4	0.3		
210	220	0.38	17.1	1.0	6.5	0.2		
220	230	0.36	11.1	1.4	4.2	0.2		
230	240	0.30	10.2	1.3	3.3	0.2		
240	250	0.38	10.4	1.4	3.3	0.2		
250	260	0.39	8.8	1.5	3.1	0.2		
260	270	0.38	5.7	1.0	2.0	0.1		
270	280	0.38	6.5	0.9	2.0	0.1		
280	290	0.43	3.6	1.1	2.1	0.2		
290	300	0.43	5.2	1.2	2.5	0.2		
