Depth	Si/Al
1	3.632420827
20	3.688813485
60	3.447729351
80	3.336605446
120	3.261158489
140	3.258064516
180	3.239803019
200	3.164744988
240	3.298137343
260	3.520854657
300	3.449951722
320	3.976791001
340	4.397811974
360	3.978577157
380	3.70148917
400	3.467764354
420	3.252261307
460	3.215942029
500	3.424061022
540	3.755660188
580	3.585339168
620	3.735596605
640	3.962498705
660	3.328897737
680	3.273877157
700	3.175792218
720	3.094998134
740	3.023134601
780	3.163060935
820	3.451283079
840	3.323434284
880	3.53571771
920	3.638261496
960	4.125120308
980	4.499027536
1000	4.667318177
1020	4.498833316
1040	4.875845516
1060	3.912738792
1080	3.691936219
1100	3.265984875
1140	3.247497475
1180	3.231023745
1220	3.051667199
