depth_top	depth_bottom	density	Pbex	Pbex_er	Cs	Cs_er	Am	Am_er
0	5	0.028	116	3	6.0	0.3	0.0	0.1
5	10	0.030	131	7	5.9	0.5	0.5	0.2
10	15	0.032	109	4	5.5	0.4	0.4	0.2
25	30	0.042	117	6	4	0	0.26	0.26
35	40	0.044	133	6.6	6.8	0.4	0.0	0.1
55	60	0.063	99.3	2.4	6.9	0.2	0.3	0.09
65	70	0.056	96.2	4.8	8.5	0.4	0.0	0.1
75	80	0.050	97.6	6.0	8.4	0.7	0.1	0.3
85	90	0.056	94	5	9.6	0.5	0.3	0.16
95	100	0.050	87	4.6	8.8	0.4	0.19	0.23
110	115	0.066	74.7	6.0	9.8	0.6	0.0	0.1
125	135	0.069	77.8	3.3	9.7	0.3	0.36	0.15
144	154	0.063	78.7	3.0	9.6	0.3	0.0	0.1
165	175	0.060	86.9	3.4	11.5	0.4	0.3	0.15
175	185	0.052	88.1	3.3	13.7	0.4	0.0	0.1
185	195	0.048	86.3	3.2	15.1	0.4	0	0.1
195	205	0.042	78.3	3.6	20.5	0.4	0.11	0.11
205	215	0.047	67.3	3.0	14.0	0.4	0	0.1
225	235	0.048	60.3	4.5	17.5	0.5	0.54	0.17
255	265	0.052	55.5	2.8	27.4	0.5	1.1	0.17
275	285	0.053	37.6	2.9	38.0	0.7	1.47	0.2
285	295	0.054	31.8	2.6	39.9	0.6	1.42	0.19
295	305	0.059	22.5	1.5	19.1	0.3	0.36	0.11
305	315	0.057	22.8	1.5	14.1	0.2	0.4	0.1
315	325	0.051	20.6	2.3	10.7	0.3	0.36	0.15
360	370	0.064	14.4	2.3	1.5	0.2	0.23	0.16
400	410	0.059	10.7	1.1	0.4	0.0	0.20	0.09
