Depth	Ca	Fe
4	11622	62380
5	11040	57608
6	10614	56678
7	11606	55608
8	11880	57299
9	11269	58449
10	12585	58802
11	14980	59603
12	22804	58393
13	40910	56565
14	43294	56642
15	29996	57044
16	23129	56840
17	17293	57207
18	15565	58381
19	19363	57269
20	37285	56164
21	59599	56823
22	80269	55692
23	87357	54029
24	93039	54588
25	85278	53593
26	74330	53284
27	63917	53425
28	40791	55528
29	25280	55838
30	20393	54949
31	25074	54046
32	28216	54178
33	23327	56138
34	22911	58884
35	23518	59330
36	19899	58750
37	16718	56969
38	10190	52766
39	9634	54475
40	9046	52984
41	8744	53859
42	9469	54754
43	9229	54825
44	9497	53575
45	9854	55817
46	10923	58482
47	12223	58444
48	18821	57998
49	19734	58927
50	17958	59684
51	18062	58922
52	16592	60095
53	15296	61063
54	14937	59454
55	15298	58737
56	16771	58210
57	21205	58582
58	22751	57649
59	25004	57891
60	26980	58087
61	28443	58028
62	33414	57448
63	36606	57203
64	41453	57422
65	40412	56736
66	41897	57771
67	41909	58690
68	42391	56237
69	41217	56860
70	41988	56574
71	44469	55777
72	49568	56970
73	47542	58920
74	45677	57919
75	46132	57303
76	41504	58006
77	38046	58592
78	40346	58243
79	40639	58803
80	36293	59189
81	31421	58860
82	25868	58323
83	22427	59883
84	23144	58756
85	22923	58267
86	22424	58530
87	25589	59683
88	27390	59513
89	20347	60547
90	17364	60330
91	16543	59871
92	17484	59816
93	18754	58539
94	19458	58861
95	22665	56775
96	26363	58529
97	21693	60237
98	24653	61260
99	28450	61493
100	48351	59649
101	82481	54433
102	88106	52819
103	89791	49583
104	100219	48888
105	95035	49756
106	73499	51335
107	34342	58153
108	25427	61150
109	29326	61364
110	24703	60423
111	22161	60842
112	22464	59740
113	30347	58650
114	31015	59989
115	30631	58387
116	30092	58164
117	33714	57461
118	34219	58824
119	32296	57973
120	33968	56892
121	33617	56230
122	33645	55533
123	32468	55300
124	30640	54593
125	34636	53911
126	40080	53565
127	39819	52722
128	38759	51832
129	38707	53321
130	38140	52351
131	36991	51831
132	36345	51278
133	37306	52467
134	38590	53461
135	53169	54289
136	71151	52902
137	88212	50773
138	99732	50888
139	96901	50591
140	91136	51633
141	68491	55111
142	40733	58338
143	28615	59662
144	26660	60156
145	31365	58965
146	25374	59607
147	23267	61007
148	24037	61450
149	18839	62435
150	17824	62062
151	16542	60544
152	17038	61149
153	17500	61629
154	19467	62290
155	25132	64137
156	22982	65265
157	38537	62604
158	75723	54757
159	80511	52339
160	83072	54999
161	89013	56507
162	90860	52464
163	83896	50399
164	68181	55836
165	76575	56152
166	79310	55862
167	82600	58383
168	102702	54988
169	106710	54470
170	113347	52341
171	113581	51343
172	104447	48191
173	98640	46354
174	100310	45987
175	84874	48710
176	79166	48918
177	86435	47478
178	82881	49595
179	77356	54644
180	74543	56633
181	75116	54349
182	57799	56010
183	50800	56754
184	39914	57615
185	32444	59115
186	28881	60789
187	37225	61906
188	41607	62381
189	63245	61142
190	79163	57121
191	95688	53751
192	105015	50969
193	107074	49160
194	101579	49733
195	104333	53026
196	107898	50936
197	113724	50344
198	109038	49921
199	107189	49520
200	99460	51729
201	90851	53409
202	69588	54227
203	51072	59980
204	58065	62486
205	70648	60304
206	85409	55757
207	90499	51244
208	87410	50570
209	72397	51846
210	68408	52157
211	66476	54759
212	63266	56710
213	40422	58884
214	21854	61346
215	14804	62929
216	12600	59996
217	10707	58536
218	10683	57763
219	8272	57641
220	7775	59185
221	7700	59441
222	7943	60689
223	7509	58905
224	7537	57560
225	7519	57271
226	8263	58263
227	9081	60262
228	10964	58422
229	21415	57492
230	43109	58428
231	65639	58501
232	81123	56762
233	92273	54397
234	94749	52165
235	80000	55551
236	49440	59501
237	32983	56702
238	25578	55577
239	12891	57873
240	8352	57773
241	8062	58444
242	8321	58406
243	7749	58168
244	8368	59030
245	11691	58783
246	8834	58504
247	7368	57395
248	7678	58780
249	8981	62249
250	8143	61839
251	7243	59728
252	7003	59603
253	7212	60293
254	8101	60841
255	7694	60832
256	8350	62587
257	9248	62671
258	9272	62389
259	11162	66480
260	22006	67313
